"customer_state","late_delivery_rate"
AL,23.9294710327455919
MA,19.6652719665271967
PI,15.9663865546218487
CE,15.3244722439405786
SE,15.2238805970149254
BA,14.0356265356265356
RJ,13.4736842105263158
TO,12.7737226277372263
PA,12.3678646934460888
ES,12.2305764411027569
RR,12.1951219512195122
MS,11.5549215406562054
PB,11.0251450676982592
PE,10.7972379158819837
RN,10.7594936708860759
SC,9.7574732092498590
GO,8.1757792539601431
RS,7.1468662301216090
DF,7.0673076923076923
MT,6.7720090293453725
SP,5.8936816374904323
MG,5.6103575832305795
PR,4.9969530773918342
AP,4.4776119402985075
AM,4.1379310344827586
AC,3.7500000000000000
RO,2.8806584362139918
