"product_category_name","avg_delivery_days"
moveis_escritorio,20.39
artigos_de_natal,15.30
seguros_e_servicos,15.00
fashion_calcados,14.93
casa_conforto_2,14.07
moveis_colchao_e_estofado,13.89
eletrodomesticos_2,13.42
moveis_sala,13.29
fashion_underwear_e_moda_praia,13.28
ferramentas_jardim,13.23
consoles_games,13.14
pcs,13.05
casa_conforto,13.04
audio,12.88
informatica_acessorios,12.78
moveis_quarto,12.76
casa_construcao,12.76
tablets_impressao_imagem,12.58
dvds_blu_ray,12.51
instrumentos_musicais,12.50
fashion_roupa_masculina,12.47
eletronicos,12.42
moveis_decoracao,12.40
telefonia,12.38
cama_mesa_banho,12.34
"",12.31
papelaria,12.28
telefonia_fixa,12.24
relogios_presentes,12.19
bebes,12.06
cool_stuff,11.90
climatizacao,11.79
automotivo,11.77
esporte_lazer,11.69
market_place,11.68
construcao_ferramentas_ferramentas,11.63
beleza_saude,11.52
fashion_roupa_feminina,11.49
moveis_cozinha_area_de_servico_jantar_e_jardim,11.45
construcao_ferramentas_jardim,11.43
construcao_ferramentas_seguranca,11.43
fashion_esporte,11.38
perfumaria,11.28
brinquedos,11.23
agro_industria_e_comercio,11.22
livros_interesse_geral,11.17
musica,11.16
eletrodomesticos,10.87
artes,10.87
pet_shop,10.76
flores,10.70
fashion_bolsas_e_acessorios,10.61
utilidades_domesticas,10.46
alimentos_bebidas,10.45
cds_dvds_musicais,10.36
eletroportateis,10.33
industria_comercio_e_negocios,10.31
construcao_ferramentas_construcao,10.29
fraldas_higiene,10.24
livros_tecnicos,10.23
malas_acessorios,10.19
cine_foto,10.13
bebidas,10.02
sinalizacao_e_seguranca,9.97
portateis_casa_forno_e_cafe,9.40
construcao_ferramentas_iluminacao,9.25
alimentos,9.10
artigos_de_festas,8.90
pc_gamer,8.75
fashion_roupa_infanto_juvenil,8.14
portateis_cozinha_e_preparadores_de_alimentos,7.79
livros_importados,7.67
la_cuisine,7.07
artes_e_artesanato,5.29
